,topic_id,topic_name,size,percent
0,bt-0,conversation | option | situation | context | school | feelings | answer | dialogue | narrator | class,699,5.44
1,bt-5,plot | movie | film | characters | character | story | themes | proposal | films | danger,692,5.38
2,bt-2,government | election | leaders | leader | country | religion | war | countries | weapons | leadership,630,4.9
3,bt-9,relation | museum | paraphrases | entity | art | aircraft | citizenship | paintings | throne | information,613,4.77
4,bt-14,population | airport | census | runway | insurance | city | county | education | campus | schools,601,4.67
5,bt-17,oxygen | dioxide | carbon | perturbation | process | energy | water | molecules | lungs | particles,595,4.63
6,bt-23,designs | tag | furniture | stores | paper | fashion | Rs | giggles | speech | store,581,4.52
7,bt-24,opera | television | episodes | episode | TV | actress | series | rocket | actor | launch,531,4.13
8,bt-12,translation | word | phrase | breakdown | pentru | verb | sentence | için | text | language,524,4.07
9,bt-28,PersonX | doctors | thoughts | gifts | anxiety | emotions | therapist | stress | meditation | self,517,4.02
10,bt-26,premise | dog | hypothesis | dogs | activity | swing | horse | man | grass | beach,507,3.94
11,bt-16,premise | car | hypothesis | bike | vehicle | train | road | cars | speed | driver,492,3.83
12,bt-8,translation | que | sí | sentence | casa | verb | word | gato | una | meaning,456,3.55
13,bt-10,email | computer | eco | punctuation | file | software | comma | malware | capitalization | files,453,3.52
14,bt-22,die | translation | et | den | dollar | currency | ist | der | market | und,451,3.51
15,bt-4,sky | objects | planets | asteroid | mountain | orbit | moon | sun | weather | gravity,450,3.5
16,bt-25,ingredients | sugar | recipe | foods | dish | fat | diet | cheese | cooking | brush,436,3.39
17,bt-13,album | music | band | song | songs | singer | albums | songwriter | rock | pop,426,3.31
18,bt-3,species | birds | animals | habitat | organisms | bird | predators | fish | insects | prey,417,3.24
19,bt-18,movie | review | film | reviewer | sentiment | acting | pacing | movies | cast | performances,366,2.85
20,bt-6,players | basketball | team | player | baseball | game | tennis | sport | championship | ball,366,2.85
21,bt-27,restaurant | cuisine | riverside | rating | food | dishes | customer | coffee | cat | shop,361,2.81
22,bt-21,dignity | respect | individuals | police | violence | request | harm | orientation | consent | murder,340,2.64
23,bt-1,product | review | reviewer | book | disappointment | expectations | customer | sentiment | quality | experience,336,2.61
24,bt-7,equation | sides | math | solution | integers | numbers | integer | problem | simplifies | list,312,2.43
25,bt-19,football | team | touchdown | yards | teams | clubs | yard | club | league | players,266,2.07
26,bt-20,app | interface | apps | review | package | features | user | com | favorability | recommendation,155,1.21
27,bt-11,tweet | hashtags | sentiment | positivity | hashtag | tone | tweets | frustration | use | cup,154,1.2
28,bt-15,server | service | restaurant | review | staff | decor | menu | food | ambiance | dining,106,0.82
29,bt-29,spaces | space | editor | breaks | words | errors | supplement | signing | clarity | task,26,0.2
